series,event_name,circuit,location,date_start,date_end,time_start,time_end,duration,session_type,timezone,notes
IMSA,Battle on the Bricks - Qualifying,Indianapolis Motor Speedway,"Indianapolis, IN, USA",2026-09-18,2026-09-18,,,~75min,Qualifying,America/Indiana/Indianapolis,Times TBC
24HSeries,Michelin 24H Barcelona - Race,Circuit de Barcelona-Catalunya,"Barcelona, Spain",2026-09-19,2026-09-20,,,24h,Race,Europe/Madrid,Creventic European Series finale
GTWCE,GTWCE Zandvoort Sprint - Race 1,Circuit Zandvoort,"Zandvoort, Netherlands",2026-09-19,2026-09-19,14:45,15:45,1h,Race,Europe/Amsterdam,Sprint Cup Rd5 - Race 1
IMSA,Battle on the Bricks - Race,Indianapolis Motor Speedway,"Indianapolis, IN, USA",2026-09-19,2026-09-19,,,6h,Race,America/Indiana/Indianapolis,6h format reverted from 2h40m
SuperGT,Super GT Sugo - Qualifying,Sportsland Sugo,"Murata, Japan",2026-09-19,2026-09-19,,,~1h,Qualifying,Asia/Tokyo,
GTWCE,GTWCE Zandvoort Sprint - Race 2,Circuit Zandvoort,"Zandvoort, Netherlands",2026-09-20,2026-09-20,14:15,15:15,1h,Race,Europe/Amsterdam,Sprint Cup Rd5 - Race 2
SuperGT,Super GT Sugo - Race,Sportsland Sugo,"Murata, Japan",2026-09-20,2026-09-20,14:00,,300km,Race,Asia/Tokyo,Round 6
BritishGT,British GT Brands Hatch - Qualifying,Brands Hatch,"Kent, UK",2026-09-26,2026-09-26,,,~20min,Qualifying,Europe/London,
GTAmerica,GT America Barber - Race 1,Barber Motorsports Park,"Birmingham, AL, USA",2026-09-26,2026-09-26,,,40min,Race,America/Chicago,Round 11
GTWCA,GTWCA Barber - Race,Barber Motorsports Park,"Birmingham, AL, USA",2026-09-26,2026-09-27,,,3h,Race,America/Chicago,Round 6
WEC,6 Hours of Fuji - Qualifying,Fuji Speedway,"Oyama, Japan",2026-09-26,2026-09-26,,,~30min,Qualifying,Asia/Tokyo,Times TBC
BritishGT,British GT Brands Hatch - Race,Brands Hatch,"Kent, UK",2026-09-27,2026-09-27,,,2h,Race,Europe/London,Season finale - incl. GT4 Endurance Cup
GTAmerica,GT America Barber - Race 2,Barber Motorsports Park,"Birmingham, AL, USA",2026-09-27,2026-09-27,,,40min,Race,America/Chicago,Round 12
WEC,6 Hours of Fuji - Race,Fuji Speedway,"Oyama, Japan",2026-09-27,2026-09-27,11:00,17:00,6h,Race,Asia/Tokyo,Round 6 - 100th WEC race
IMSA,Motul Petit Le Mans - Qualifying,Road Atlanta,"Braselton, GA, USA",2026-10-02,2026-10-02,,,~75min,Qualifying,America/New_York,Times TBC
GTWCE,GTWCE Barcelona Sprint - Race 1,Circuit de Barcelona-Catalunya,"Barcelona, Spain",2026-10-03,2026-10-03,14:00,15:00,1h,Race,Europe/Madrid,Sprint Cup Rd6 finale - Race 1
IMSA,Motul Petit Le Mans - Race,Road Atlanta,"Braselton, GA, USA",2026-10-03,2026-10-03,12:10,22:10,10h,Race,America/New_York,Season finale - Endurance Cup
GTWCE,GTWCE Barcelona Sprint - Race 2,Circuit de Barcelona-Catalunya,"Barcelona, Spain",2026-10-04,2026-10-04,16:00,17:00,1h,Race,Europe/Madrid,Sprint Cup Rd6 finale - Race 2
DTM,DTM Hockenheimring - Qualifying 1,Hockenheimring,"Hockenheim, Germany",2026-10-10,2026-10-10,10:05,10:25,20min,Qualifying,Europe/Berlin,Season finale
DTM,DTM Hockenheimring - Race 1,Hockenheimring,"Hockenheim, Germany",2026-10-10,2026-10-10,13:30,14:30,Sprint,Race,Europe/Berlin,Race 1
GTAmerica,GT America Indianapolis - Race 1,Indianapolis Motor Speedway,"Indianapolis, IN, USA",2026-10-10,2026-10-10,,,40min,Race,America/Indiana/Indianapolis,Round 13
GTWCA,GTWCA Indy 8 Hour - Race,Indianapolis Motor Speedway,"Indianapolis, IN, USA",2026-10-10,2026-10-11,,,8h,Race,America/Indiana/Indianapolis,Season finale - Indy 8 Hour
NLS,NLS Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-10-10,2026-10-10,12:00,16:00,4h,Race,Europe/Berlin,NLS10
DTM,DTM Hockenheimring - Qualifying 2,Hockenheimring,"Hockenheim, Germany",2026-10-11,2026-10-11,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Hockenheimring - Race 2,Hockenheimring,"Hockenheim, Germany",2026-10-11,2026-10-11,13:30,14:30,Sprint,Race,Europe/Berlin,Season finale Race 2
GTAmerica,GT America Indianapolis - Race 2,Indianapolis Motor Speedway,"Indianapolis, IN, USA",2026-10-11,2026-10-11,,,40min,Race,America/Indiana/Indianapolis,Round 14 - Season finale
GTWCAsia,GTWC Asia Beijing - Race 1,Beijing Street Circuit,"Beijing, China",2026-10-17,2026-10-17,,,1h,Race,Asia/Shanghai,Round 11 - street circuit
GTWCE,GTWCE Portimao 3h - Qualifying,Autodromo Internacional do Algarve,"Portimao, Portugal",2026-10-17,2026-10-17,10:40,11:40,1hr,Qualifying,Europe/Lisbon,Endurance Cup Rd5 finale
SuperGT,Super GT Autopolis - Qualifying,Autopolis,"Hita, Japan",2026-10-17,2026-10-17,,,~1h,Qualifying,Asia/Tokyo,
GTWCAsia,GTWC Asia Beijing - Race 2,Beijing Street Circuit,"Beijing, China",2026-10-18,2026-10-18,,,1h,Race,Asia/Shanghai,Round 12 - Season finale
GTWCE,GTWCE Portimao 3h - Race,Autodromo Internacional do Algarve,"Portimao, Portugal",2026-10-18,2026-10-18,15:15,18:15,3h,Race,Europe/Lisbon,Endurance Cup Rd5 - Season finale
SuperGT,Super GT Autopolis - Race,Autopolis,"Hita, Japan",2026-10-18,2026-10-18,14:00,,300km,Race,Asia/Tokyo,Round 7
WEC,Qatar 1812 km - Qualifying,Lusail International Circuit,"Lusail, Qatar",2026-10-23,2026-10-23,,,~30min,Qualifying,Asia/Qatar,Rescheduled from March
WEC,Qatar 1812 km - Race,Lusail International Circuit,"Lusail, Qatar",2026-10-24,2026-10-24,14:00,,1812km,Race,Asia/Qatar,Round 7 - rescheduled from March
WEC,8 Hours of Bahrain - Qualifying,Bahrain International Circuit,"Sakhir, Bahrain",2026-11-06,2026-11-06,,,~30min,Qualifying,Asia/Bahrain,Times TBC
SuperGT,Super GT Motegi - Qualifying,Mobility Resort Motegi,"Motegi, Japan",2026-11-07,2026-11-07,,,~1h,Qualifying,Asia/Tokyo,
WEC,8 Hours of Bahrain - Race,Bahrain International Circuit,"Sakhir, Bahrain",2026-11-07,2026-11-07,13:00,21:00,8h,Race,Asia/Bahrain,Round 8 - Season finale
SuperGT,Super GT Motegi - Race,Mobility Resort Motegi,"Motegi, Japan",2026-11-08,2026-11-08,13:00,,300km,Race,Asia/Tokyo,Season finale - last year of tire war
Macau,Macau GT Cup - Qualifying,Guia Circuit,Macau,2026-11-13,2026-11-14,,,~30min,Qualifying,Asia/Macau,FIA GT World Cup - typical date TBC
Macau,Macau GT Cup - Race,Guia Circuit,Macau,2026-11-15,2026-11-15,,,Sprint,Race,Asia/Macau,Iconic street race - one-shot GT3 sprint
GTWCAus,GTWC Australia - Race 11,Adelaide Street Circuit,"Adelaide, South Australia",2026-11-28,2026-11-28,,,,Race,Australia/Adelaide,
GTWCAus,GTWC Australia - Race 12,Adelaide Street Circuit,"Adelaide, South Australia",2026-11-29,2026-11-29,,,,Race,Australia/Adelaide,
24HSeries,Michelin 8H Qatar - Race,Lusail International Circuit,"Lusail, Qatar",2026-12-11,2026-12-12,,,8h,Race,Asia/Qatar,Middle East Trophy round
Supercars,500 at the Bend,Tailem Bend,,2026-08-11,2026-08-13,,,,Race,Australia/Sydney,
Supercars,Bathurst 1000,Mount Panorama Circuit,,2026-10-08,2026-10-10,,,,Race,Australia/Bathurst,
Supercars,Gold Coast 500,Surfers Paradise Street Circuit,,2026-10-23,2026-10-25,,,,Race,Australia/Queensland,
Supercars,Sandown 500,Sandown Raceway,,2026-11-06,2026-11-08,,,,Race,Australia/Parkes,
Supercars,Adelaide Grand Final,Adelaide Street Circuit,,2026-11-26,2026-11-29,,,,Race,Australia/Adelaide,
